Row Labels,Sum of Total Available Quantity
BOMCF191SL53-6359,19
BOMCF191SL53-6360,4
BOMCF191SL53-6361,21
BOMCF191SL53-6362,28
BOMCF191SL53-6363A,51
BOMCF191SL53-6363B,19
BOMCF191SL53-6365A,4
BOMCF191SL53-6365B,76
BOMCF191SL53-6367,15
BOMCF191SL53-6381,32
BOMCF191SL53-6421,57
BOMCF191SL53-6429A,8
BOMCF191SL53-6429B,20
BOMCF191SL53-6431A,27
BOMCF191SL53-6431B,25
BOMCF191SL53-6432A,48
BOMCF191SL53-6432B,35
BOMCF191SL53-6436A,27
BOMCF191SL53-6436B,25
BOMCF191SL54-6220A,29
BOMCF191SL54-6220B,21
BOMCF191SL54-6248A,26
BOMCF191SL54-6248B,21
BOMCF204R-FW0008-C006,21
BOMCF204R-FW0008-C090,678
BOMCF204R-FW0008-C102,96
BOMCF204R-FW0008-C107,10
BOMCF204RL54-1226AQ,12
BOMCF204RL54-1226AZ,109
BOMCF204RL54-1226E,77
BOMCF213R-FW0528,14
BOMCF25SC21L31-3264,0
BOMCF25SC21L31-3266,0
BOMCF25SC21L41-3186,0
BOMCF260RL50-6050,0
BOMCF260RL50-6052,0
BOMCF265SL46-4945M-N,0
BOMCF270RL46-1080AX,0
BOMCF270RL46-1080BP,0
BOMCF270RL47-5005A,1
BOMCF270RL47-5005B,0
BOMCF270RL48-1080AU,0
BOMCF270RL48-1080CB,0
BOMCF278XL47-3602A,0
BOMCF279XL46-4945AF,0
BOMCF279XL46-4945BQ,0
BOMCF279XL49-4945CJ,1
BOMCF310RL48-5039,0
BOMCF321XL48-5045,0
BOMCF325RL48-5040,0
BOMCF328X-FW0008-C140,119
BOMCF344X-FW0279-W02,91
BOMCF36RC23L39-3022A,0
BOMCF36SC19L41-3602E,0
BOMCF36SC19L41-3602F,0
BOMCF36SC20L40-4571D,0
BOMCF41SC19L39-3602C,1
BOMCF41SC19L39-3602D,0
BOMCF41SC19L39-3602E,0
BOMCF427XL50-3602E,0
BOMCF430VL50-6037,0
BOMCF430VL50-6038,7
BOMCF430VL50-6040,0
