Row Labels,Sum of Total Available Quantity,new style code
BOMCF191RL53-6488,7,BOMCF191RL53-6488
BOMCF191RL53-6489,21,BOMCF191RL53-6489
BOMCF191RL53-6490,0,BOMCF191RL53-6490
BOMCF191RL53-6491,21,BOMCF191RL53-6491
BOMCF191RL53-6495,34,BOMCF191RL53-6495
BOMCF191RL53-6497,36,BOMCF191RL53-6497
BOMCF191RL53-6498,5,BOMCF191RL53-6498
BOMCF191RL53-6499A,31,BOMCF191RL53-6499A
BOMCF191RL53-6499B,2,BOMCF191RL53-6499B
BOMCF191RL54-6175,33,BOMCF191RL54-6175
BOMCF191RL54-6180,9,BOMCF191RL54-6180
BOMCF191RL54-6185,4,BOMCF191RL54-6185
BOMCF191RL54-6205,1,BOMCF191RL54-6205
BOMCF191RL54-6206,0,BOMCF191RL54-6206
BOMCF191RL54-6207,4,BOMCF191RL54-6207
BOMCF191RL54-6208,15,BOMCF191RL54-6208
BOMCF191RL54-6209,24,BOMCF191RL54-6209
BOMCF191RL54-6223A,1,BOMCF191RL54-6223A
BOMCF191RL54-6236A,36,BOMCF191RL54-6236A
BOMCF191RL54-6236B,21,BOMCF191RL54-6236B
BOMCF191RL54-6237A,19,BOMCF191RL54-6237A
BOMCF191RL54-6237B,1,BOMCF191RL54-6237B
BOMCF191RL54-6259A,10,BOMCF191RL54-6259A
BOMCF191RL54-6259C,11,BOMCF191RL54-6259C
BOMCF191S-6221A,31,BOMCF191S-6221A
BOMCF191S-6221B,32,BOMCF191S-6221B
BOMCF191S-6228A,2,BOMCF191S-6228A
BOMCF191S-6228B,25,BOMCF191S-6228B
BOMCF191S-6256A,24,BOMCF191S-6256A
BOMCF191S-6256B,29,BOMCF191S-6256B
BOMCF191S-FW0307,108,BOMCF191S-FW0307
BOMCF191S-FW0502,110,BOMCF191S-FW0502
BOMCF191SL53-6347A,16,BOMCF191SL53-6347A
BOMCF191SL53-6347B,19,BOMCF191SL53-6347B
BOMCF191SL53-6353,17,BOMCF191SL53-6353
BOMCF191SL53-6354,1,BOMCF191SL53-6354
BOMCF191SL53-6355,49,BOMCF191SL53-6355
BOMCF191SL53-6357A,64,BOMCF191SL53-6357A
BOMCF191SL53-6357B,69,BOMCF191SL53-6357B
BOMCF191SL53-6359,19,BOMCF191SL53-6359
BOMCF191SL53-6360,4,BOMCF191SL53-6360
BOMCF191SL53-6361,21,BOMCF191SL53-6361
BOMCF191SL53-6362,28,BOMCF191SL53-6362
BOMCF191SL53-6363A,51,BOMCF191SL53-6363A
BOMCF191SL53-6363B,19,BOMCF191SL53-6363B
BOMCF191SL53-6365A,4,BOMCF191SL53-6365A
BOMCF191SL53-6365B,76,BOMCF191SL53-6365B
BOMCF191SL53-6367,15,BOMCF191SL53-6367
BOMCF191SL53-6381,32,BOMCF191SL53-6381
BOMCF191SL53-6421,57,BOMCF191SL53-6421
BOMCF191SL53-6429A,8,BOMCF191SL53-6429A
BOMCF191SL53-6429B,20,BOMCF191SL53-6429B
BOMCF191SL53-6431A,27,BOMCF191SL53-6431A
BOMCF191SL53-6431B,25,BOMCF191SL53-6431B
BOMCF191SL53-6432A,48,BOMCF191SL53-6432A
BOMCF191SL53-6432B,35,BOMCF191SL53-6432B
BOMCF191SL53-6436A,27,BOMCF191SL53-6436A
BOMCF191SL53-6436B,25,BOMCF191SL53-6436B
BOMCF191SL54-6220A,29,BOMCF191SL54-6220A
BOMCF191SL54-6220B,21,BOMCF191SL54-6220B
BOMCF191SL54-6248A,26,BOMCF191SL54-6248A
BOMCF191SL54-6248B,21,BOMCF191SL54-6248B
BOMCF204R-FW0008-C006,21,BOMCF204R-FW0008-C006
BOMCF204R-FW0008-C090,678,BOMCF204R-FW0008-C090
BOMCF204R-FW0008-C102,96,BOMCF204R-FW0008-C102
BOMCF204R-FW0008-C107,10,BOMCF204R-FW0008-C107
BOMCF204RL54-1226AQ,12,BOMCF204RL54-1226AQ
BOMCF204RL54-1226AZ,109,BOMCF204RL54-1226AZ
BOMCF204RL54-1226E,77,BOMCF204RL54-1226E
BOMCF213R-FW0528,14,BOMCF213R-FW0528
BOMCF25SC21L31-3264,0,BOMCF25SC21L31-3264
BOMCF25SC21L31-3266,0,BOMCF25SC21L31-3266
BOMCF25SC21L41-3186,0,BOMCF25SC21L41-3186
BOMCF260RL50-6050,0,BOMCF260RL50-6050
BOMCF260RL50-6052,0,BOMCF260RL50-6052
BOMCF265SL46-4945M-N,0,BOMCF265SL46-4945M-N
BOMCF270RL46-1080AX,0,BOMCF270RL46-1080AX
BOMCF270RL46-1080BP,0,BOMCF270RL46-1080BP
BOMCF270RL47-5005A,1,BOMCF270RL47-5005A
BOMCF270RL47-5005B,0,BOMCF270RL47-5005B
BOMCF270RL48-1080AU,0,BOMCF270RL48-1080AU
BOMCF270RL48-1080CB,0,BOMCF270RL48-1080CB
BOMCF278XL47-3602A,0,BOMCF278XL47-3602A
BOMCF279XL46-4945AF,0,BOMCF279XL46-4945AF
BOMCF279XL46-4945BQ,0,BOMCF279XL46-4945BQ
BOMCF279XL49-4945CJ,1,BOMCF279XL49-4945CJ
BOMCF310RL48-5039,0,BOMCF310RL48-5039
BOMCF321XL48-5045,0,BOMCF321XL48-5045
BOMCF325RL48-5040,0,BOMCF325RL48-5040
BOMCF328X-FW0008-C140,119,BOMCF328X-FW0008-C140
BOMCF344X-FW0279-W02,91,BOMCF344X-FW0279-W02
BOMCF36RC23L39-3022A,0,BOMCF36RC23L39-3022A
BOMCF36SC19L41-3602E,0,BOMCF36SC19L41-3602E
BOMCF36SC19L41-3602F,0,BOMCF36SC19L41-3602F
BOMCF36SC20L40-4571D,0,BOMCF36SC20L40-4571D
BOMCF41SC19L39-3602C,1,BOMCF41SC19L39-3602C
BOMCF41SC19L39-3602D,0,BOMCF41SC19L39-3602D
BOMCF41SC19L39-3602E,0,BOMCF41SC19L39-3602E
BOMCF427XL50-3602E,0,BOMCF427XL50-3602E
BOMCF430VL50-6037,0,BOMCF430VL50-6037
BOMCF430VL50-6038,7,BOMCF430VL50-6038
BOMCF430VL50-6040,0,BOMCF430VL50-6040
BOMCF430VL51-6074,9,BOMCF430VL51-6074
BOMCF430XL50-6024,1,BOMCF430XL50-6024
BOMCF430XL50-6039,0,BOMCF430XL50-6039
BOMCF430XL51-6013,0,BOMCF430XL51-6013
BOMCF437VL50-6065A,11,BOMCF437VL50-6065A
BOMCF437VL50-6065B,8,BOMCF437VL50-6065B
BOMCF438VL50-6064A,1,BOMCF438VL50-6064A
BOMCF438VL50-6064B,11,BOMCF438VL50-6064B
BOMCF438XL50-6015,7,BOMCF438XL50-6015
